"Source","Target","論文ID","論文タイトル","所属1","所属2","発行日"
"14 その他（複合材料・特殊構造体等）","13 レビュー・総説・動向分析・社会データ","https://doi.org/10.1038/s41565-020-0737-y","COVID-19 vaccine development and a potential nanomaterial path forward","","","2023/03/27"
"13 レビュー・総説・動向分析・社会データ","8 バイオ応答・治療効果・送達・安全性","https://doi.org/10.1038/s41565-020-0737-y","COVID-19 vaccine development and a potential nanomaterial path forward","","","2023/03/27"
"11 界面・表面・ナノスケール構造・ダイナミクスの可視化・制御・解析","11 セラミックス・酸化物・誘電体・光学材料","https://doi.org/10.1038/s41565-020-0768-4","Complex-amplitude metasurface-based orbital angular momentum holography in momentum space","","","2022/01/25"
"11 セラミックス・酸化物・誘電体・光学材料","2 デバイス作製・パターニング・マイクロ/ナノファブリケーション","https://doi.org/10.1038/s41565-020-0768-4","Complex-amplitude metasurface-based orbital angular momentum holography in momentum space","","","2022/01/25"
"2 デバイス作製・パターニング・マイクロ/ナノファブリケーション","2 磁気・スピン・フォトニック・集積化デバイス","https://doi.org/10.1038/s41565-020-0768-4","Complex-amplitude metasurface-based orbital angular momentum holography in momentum space","","","2022/01/25"
"3 量子・スピン・トポロジカル・先端物性現象の実証・制御・応用","1 二次元材料・層状材料・グラフェン・TMDs関連","https://doi.org/10.1038/s41565-021-01045-5","Advances and applications of nanophotonic biosensors","","","2025/02/13"
"1 二次元材料・層状材料・グラフェン・TMDs関連","5 電気・電子・磁気・光学的測定","https://doi.org/10.1038/s41565-021-01045-5","Advances and applications of nanophotonic biosensors","","","2025/02/13"
"5 電気・電子・磁気・光学的測定","10 計測技術・センシング・検出・イメージング","https://doi.org/10.1038/s41565-021-01045-5","Advances and applications of nanophotonic biosensors","","","2025/02/13"
"2 デバイス・機能材料の設計・開発・動作・応用","1 二次元材料・層状材料・グラフェン・TMDs関連","https://doi.org/10.1038/s41565-020-0652-2","Chemical reactivity under nanoconfinement","","","2025/07/23"
"1 二次元材料・層状材料・グラフェン・TMDs関連","10 マルチモーダル・複合的解析・統合手法","https://doi.org/10.1038/s41565-020-0652-2","Chemical reactivity under nanoconfinement","","","2025/07/23"
"10 マルチモーダル・複合的解析・統合手法","5 化学反応性・触媒活性・電気化学特性","https://doi.org/10.1038/s41565-020-0652-2","Chemical reactivity under nanoconfinement","","","2025/07/23"
"5 ナノバイオ・ナノメディシン・ドラッグデリバリー・診断治療の設計・応用","1 二次元材料・層状材料・グラフェン・TMDs関連","https://doi.org/10.1038/s41565-020-0713-6","Towards single-species selectivity of membranes with subnanometre pores","","","2023/01/29"
"1 二次元材料・層状材料・グラフェン・TMDs関連","4 分光・物性評価・組成/化学分析","https://doi.org/10.1038/s41565-020-0713-6","Towards single-species selectivity of membranes with subnanometre pores","","","2023/01/29"
"4 分光・物性評価・組成/化学分析","3 構造・組成・形態・界面・表面特性","https://doi.org/10.1038/s41565-020-0713-6","Towards single-species selectivity of membranes with subnanometre pores","","","2023/01/29"
"2 デバイス・機能材料の設計・開発・動作・応用","4 金属・合金・ナノ粒子・触媒材料","https://doi.org/10.1038/s41565-020-0673-x","MOF water harvesters","","","2023/05/17"
"4 金属・合金・ナノ粒子・触媒材料","8 デバイス動作・システムレベル評価・応用","https://doi.org/10.1038/s41565-020-0673-x","MOF water harvesters","","","2023/05/17"
"8 デバイス動作・システムレベル評価・応用","11 機械/熱/環境特性・耐久・リサイクル","https://doi.org/10.1038/s41565-020-0673-x","MOF water harvesters","","","2023/05/17"
"5 ナノバイオ・ナノメディシン・ドラッグデリバリー・診断治療の設計・応用","1 二次元材料・層状材料・グラフェン・TMDs関連","https://doi.org/10.1038/s41565-021-00963-8","Epitaxial growth of wafer-scale molybdenum disulfide semiconductor single crystals on sapphire","","","2022/10/12"
"1 二次元材料・層状材料・グラフェン・TMDs関連","1 材料合成・薄膜形成","https://doi.org/10.1038/s41565-021-00963-8","Epitaxial growth of wafer-scale molybdenum disulfide semiconductor single crystals on sapphire","","","2022/10/12"
"1 材料合成・薄膜形成","3 構造・組成・形態・界面・表面特性","https://doi.org/10.1038/s41565-021-00963-8","Epitaxial growth of wafer-scale molybdenum disulfide semiconductor single crystals on sapphire","","","2022/10/12"
"10 インフォマティクス・AI・データ科学・レビュー・社会・教育・人材等","4 金属・合金・ナノ粒子・触媒材料","https://doi.org/10.1038/s41565-021-00922-3","X-ray-activated persistent luminescence nanomaterials for NIR-II imaging","","","2021/02/18"
"4 金属・合金・ナノ粒子・触媒材料","11 ナノ粒子・ナノ構造評価と応用","https://doi.org/10.1038/s41565-021-00922-3","X-ray-activated persistent luminescence nanomaterials for NIR-II imaging","","","2021/02/18"
"11 ナノ粒子・ナノ構造評価と応用","10 計測技術・センシング・検出・イメージング","https://doi.org/10.1038/s41565-021-00922-3","X-ray-activated persistent luminescence nanomaterials for NIR-II imaging","","","2021/02/18"
"12 DNA/RNA/タンパク質等 生体分子・バイオ材料のナノスケール操作・計測・応用","6 リポソーム・LNP・バイオナノ材料","https://doi.org/10.1038/s41565-021-00962-9","Amplifying STING activation by cyclic dinucleotide–manganese particles for local and systemic cancer metalloimmunotherapy","","","2025/02/12"
"6 リポソーム・LNP・バイオナノ材料","11 ナノ粒子・ナノ構造評価と応用","https://doi.org/10.1038/s41565-021-00962-9","Amplifying STING activation by cyclic dinucleotide–manganese particles for local and systemic cancer metalloimmunotherapy","","","2025/02/12"
"11 ナノ粒子・ナノ構造評価と応用","8 バイオ応答・治療効果・送達・安全性","https://doi.org/10.1038/s41565-021-00962-9","Amplifying STING activation by cyclic dinucleotide–manganese particles for local and systemic cancer metalloimmunotherapy","","","2025/02/12"
"12 DNA/RNA/タンパク質等 生体分子・バイオ材料のナノスケール操作・計測・応用","9 バッテリー材料・電極・電解質","https://doi.org/10.1038/s41565-020-00797-w","A high-energy and long-cycling lithium–sulfur pouch cell via a macroporous catalytic cathode with double-end binding sites","","","2025/03/31"
"9 バッテリー材料・電極・電解質","9 化学反応・触媒・電気化学的評価","https://doi.org/10.1038/s41565-020-00797-w","A high-energy and long-cycling lithium–sulfur pouch cell via a macroporous catalytic cathode with double-end binding sites","","","2025/03/31"
"9 化学反応・触媒・電気化学的評価","4 材料の安定性・耐久性・分散・リサイクル性等","https://doi.org/10.1038/s41565-020-00797-w","A high-energy and long-cycling lithium–sulfur pouch cell via a macroporous catalytic cathode with double-end binding sites","","","2025/03/31"
"4 触媒・電池・エネルギー材料・エネルギー変換技術の開発・性能向上","9 バッテリー材料・電極・電解質","https://doi.org/10.1038/s41565-020-0657-x","From nanoscale interface characterization to sustainable energy storage using all-solid-state batteries","","","2022/12/23"
"9 バッテリー材料・電極・電解質","3 構造評価・表面分析・顕微鏡観察","https://doi.org/10.1038/s41565-020-0657-x","From nanoscale interface characterization to sustainable energy storage using all-solid-state batteries","","","2022/12/23"
"3 構造評価・表面分析・顕微鏡観察","3 構造・組成・形態・界面・表面特性","https://doi.org/10.1038/s41565-020-0657-x","From nanoscale interface characterization to sustainable energy storage using all-solid-state batteries","","","2022/12/23"
"10 インフォマティクス・AI・データ科学・レビュー・社会・教育・人材等","4 金属・合金・ナノ粒子・触媒材料","https://doi.org/10.1038/s41565-020-0665-x","Single-atom Rh/N-doped carbon electrocatalyst for formic acid oxidation","","","2020/01/11"
"4 金属・合金・ナノ粒子・触媒材料","10 マルチモーダル・複合的解析・統合手法","https://doi.org/10.1038/s41565-020-0665-x","Single-atom Rh/N-doped carbon electrocatalyst for formic acid oxidation","","","2020/01/11"
"10 マルチモーダル・複合的解析・統合手法","5 化学反応性・触媒活性・電気化学特性","https://doi.org/10.1038/s41565-020-0665-x","Single-atom Rh/N-doped carbon electrocatalyst for formic acid oxidation","","","2020/01/11"
"4 触媒・電池・エネルギー材料・エネルギー変換技術の開発・性能向上","14 その他（複合材料・特殊構造体等）","https://doi.org/10.1038/s41565-022-01082-8","Nano-enabled pesticides for sustainable agriculture and global food security","","","2020/07/07"
"14 その他（複合材料・特殊構造体等）","11 ナノ粒子・ナノ構造評価と応用","https://doi.org/10.1038/s41565-022-01082-8","Nano-enabled pesticides for sustainable agriculture and global food security","","","2020/07/07"
"11 ナノ粒子・ナノ構造評価と応用","8 バイオ応答・治療効果・送達・安全性","https://doi.org/10.1038/s41565-022-01082-8","Nano-enabled pesticides for sustainable agriculture and global food security","","","2020/07/07"
"2 デバイス・機能材料の設計・開発・動作・応用","4 金属・合金・ナノ粒子・触媒材料","https://doi.org/10.1038/s41565-021-00974-5","Copper-catalysed exclusive CO2 to pure formic acid conversion via single-atom alloying","","","2022/06/21"
"4 金属・合金・ナノ粒子・触媒材料","9 化学反応・触媒・電気化学的評価","https://doi.org/10.1038/s41565-021-00974-5","Copper-catalysed exclusive CO2 to pure formic acid conversion via single-atom alloying","","","2022/06/21"
"9 化学反応・触媒・電気化学的評価","5 化学反応性・触媒活性・電気化学特性","https://doi.org/10.1038/s41565-021-00974-5","Copper-catalysed exclusive CO2 to pure formic acid conversion via single-atom alloying","","","2022/06/21"
"1 新規材料・ナノ構造の合成・成長・構造制御・基礎物性の解明","4 金属・合金・ナノ粒子・触媒材料","https://doi.org/10.1038/s41565-021-01022-y","Scalable two-step annealing method for preparing ultra-high-density single-atom catalyst libraries","","","2020/03/25"
"4 金属・合金・ナノ粒子・触媒材料","1 材料合成・薄膜形成","https://doi.org/10.1038/s41565-021-01022-y","Scalable two-step annealing method for preparing ultra-high-density single-atom catalyst libraries","","","2020/03/25"
"1 材料合成・薄膜形成","5 化学反応性・触媒活性・電気化学特性","https://doi.org/10.1038/s41565-021-01022-y","Scalable two-step annealing method for preparing ultra-high-density single-atom catalyst libraries","","","2020/03/25"
"2 デバイス・機能材料の設計・開発・動作・応用","5 ポリマー・高分子・有機材料・有機半導体","https://doi.org/10.1038/s41565-021-00888-2","Placing nanoplastics in the context of global plastic pollution","","","2020/04/16"
"5 ポリマー・高分子・有機材料・有機半導体","13 レビュー・総説・動向分析・社会データ","https://doi.org/10.1038/s41565-021-00888-2","Placing nanoplastics in the context of global plastic pollution","","","2020/04/16"
"13 レビュー・総説・動向分析・社会データ","11 機械/熱/環境特性・耐久・リサイクル","https://doi.org/10.1038/s41565-021-00888-2","Placing nanoplastics in the context of global plastic pollution","","","2020/04/16"
"2 デバイス・機能材料の設計・開発・動作・応用","1 二次元材料・層状材料・グラフェン・TMDs関連","https://doi.org/10.1038/s41565-020-00833-9","Graphene oxide membranes with stable porous structure for ultrafast water transport","","","2020/12/14"
"1 二次元材料・層状材料・グラフェン・TMDs関連","1 材料合成・薄膜形成","https://doi.org/10.1038/s41565-020-00833-9","Graphene oxide membranes with stable porous structure for ultrafast water transport","","","2020/12/14"
"1 材料合成・薄膜形成","4 材料の安定性・耐久性・分散・リサイクル性等","https://doi.org/10.1038/s41565-020-00833-9","Graphene oxide membranes with stable porous structure for ultrafast water transport","","","2020/12/14"
"4 触媒・電池・エネルギー材料・エネルギー変換技術の開発・性能向上","2 ペロブスカイト・量子ドット・ナノ結晶材料","https://doi.org/10.1038/s41565-020-00831-x","A bright and fast source of coherent single photons","","","2020/04/06"
"2 ペロブスカイト・量子ドット・ナノ結晶材料","2 デバイス作製・パターニング・マイクロ/ナノファブリケーション","https://doi.org/10.1038/s41565-020-00831-x","A bright and fast source of coherent single photons","","","2020/04/06"
"2 デバイス作製・パターニング・マイクロ/ナノファブリケーション","1 電気・電子・論理・量子デバイス性能","https://doi.org/10.1038/s41565-020-00831-x","A bright and fast source of coherent single photons","","","2020/04/06"
"8 理論・計算・機構解明・モデリング・記述子・基礎科学の深化","11 セラミックス・酸化物・誘電体・光学材料","https://doi.org/10.1038/s41565-021-00881-9","Electrically reconfigurable non-volatile metasurface using low-loss optical phase-change material","","","2020/08/27"
"11 セラミックス・酸化物・誘電体・光学材料","5 電気・電子・磁気・光学的測定","https://doi.org/10.1038/s41565-021-00881-9","Electrically reconfigurable non-volatile metasurface using low-loss optical phase-change material","","","2020/08/27"
"5 電気・電子・磁気・光学的測定","1 電気・電子・論理・量子デバイス性能","https://doi.org/10.1038/s41565-021-00881-9","Electrically reconfigurable non-volatile metasurface using low-loss optical phase-change material","","","2020/08/27"
"5 ナノバイオ・ナノメディシン・ドラッグデリバリー・診断治療の設計・応用","5 ポリマー・高分子・有機材料・有機半導体","https://doi.org/10.1038/s41565-020-00781-4","A general strategy towards personalized nanovaccines based on fluoropolymers for post-surgical cancer immunotherapy","","","2024/05/27"
"5 ポリマー・高分子・有機材料・有機半導体","7 ナノバイオ・医療・生体応用実験・評価","https://doi.org/10.1038/s41565-020-00781-4","A general strategy towards personalized nanovaccines based on fluoropolymers for post-surgical cancer immunotherapy","","","2024/05/27"
"7 ナノバイオ・医療・生体応用実験・評価","8 バイオ応答・治療効果・送達・安全性","https://doi.org/10.1038/s41565-020-00781-4","A general strategy towards personalized nanovaccines based on fluoropolymers for post-surgical cancer immunotherapy","","","2024/05/27"
"3 量子・スピン・トポロジカル・先端物性現象の実証・制御・応用","1 二次元材料・層状材料・グラフェン・TMDs関連","https://doi.org/10.1038/s41565-021-00936-x","Van der Waals heterostructures for spintronics and opto-spintronics","","","2023/11/20"
"1 二次元材料・層状材料・グラフェン・TMDs関連","2 デバイス作製・パターニング・マイクロ/ナノファブリケーション","https://doi.org/10.1038/s41565-021-00936-x","Van der Waals heterostructures for spintronics and opto-spintronics","","","2023/11/20"
"2 デバイス作製・パターニング・マイクロ/ナノファブリケーション","2 磁気・スピン・フォトニック・集積化デバイス","https://doi.org/10.1038/s41565-021-00936-x","Van der Waals heterostructures for spintronics and opto-spintronics","","","2023/11/20"
"7 センシング・バイオセンシング・イメージング・計測技術の開発・応用","6 リポソーム・LNP・バイオナノ材料","https://doi.org/10.1038/s41565-020-0759-5","A framework for designing delivery systems","","","2024/12/03"
"6 リポソーム・LNP・バイオナノ材料","10 マルチモーダル・複合的解析・統合手法","https://doi.org/10.1038/s41565-020-0759-5","A framework for designing delivery systems","","","2024/12/03"
"10 マルチモーダル・複合的解析・統合手法","8 バイオ応答・治療効果・送達・安全性","https://doi.org/10.1038/s41565-020-0759-5","A framework for designing delivery systems","","","2024/12/03"
"11 界面・表面・ナノスケール構造・ダイナミクスの可視化・制御・解析","4 金属・合金・ナノ粒子・触媒材料","https://doi.org/10.1038/s41565-020-00823-x","An industrial perspective on catalysts for low-temperature CO2 electrolysis","","","2021/09/16"
"4 金属・合金・ナノ粒子・触媒材料","13 レビュー・総説・動向分析・社会データ","https://doi.org/10.1038/s41565-020-00823-x","An industrial perspective on catalysts for low-temperature CO2 electrolysis","","","2021/09/16"
"13 レビュー・総説・動向分析・社会データ","5 化学反応性・触媒活性・電気化学特性","https://doi.org/10.1038/s41565-020-00823-x","An industrial perspective on catalysts for low-temperature CO2 electrolysis","","","2021/09/16"
"1 新規材料・ナノ構造の合成・成長・構造制御・基礎物性の解明","2 ペロブスカイト・量子ドット・ナノ結晶材料","https://doi.org/10.1038/s41565-020-00811-1","Semiconductor physics of organic–inorganic 2D halide perovskites","","","2025/12/24"
"2 ペロブスカイト・量子ドット・ナノ結晶材料","10 マルチモーダル・複合的解析・統合手法","https://doi.org/10.1038/s41565-020-00811-1","Semiconductor physics of organic–inorganic 2D halide perovskites","","","2025/12/24"
"10 マルチモーダル・複合的解析・統合手法","7 バンドギャップ・励起子・光キャリア等の物理パラメータ","https://doi.org/10.1038/s41565-020-00811-1","Semiconductor physics of organic–inorganic 2D halide perovskites","","","2025/12/24"
"4 触媒・電池・エネルギー材料・エネルギー変換技術の開発・性能向上","14 その他（複合材料・特殊構造体等）","https://doi.org/10.1038/s41565-021-00866-8","Nanotechnology approaches for global infectious diseases","","","2025/08/05"
"14 その他（複合材料・特殊構造体等）","11 ナノ粒子・ナノ構造評価と応用","https://doi.org/10.1038/s41565-021-00866-8","Nanotechnology approaches for global infectious diseases","","","2025/08/05"
"11 ナノ粒子・ナノ構造評価と応用","8 バイオ応答・治療効果・送達・安全性","https://doi.org/10.1038/s41565-021-00866-8","Nanotechnology approaches for global infectious diseases","","","2025/08/05"
"1 新規材料・ナノ構造の合成・成長・構造制御・基礎物性の解明","9 バッテリー材料・電極・電解質","https://doi.org/10.1038/s41565-019-0618-4","Real-time mass spectrometric characterization of the solid–electrolyte interphase of a lithium-ion battery","","","2023/06/07"
"9 バッテリー材料・電極・電解質","4 分光・物性評価・組成/化学分析","https://doi.org/10.1038/s41565-019-0618-4","Real-time mass spectrometric characterization of the solid–electrolyte interphase of a lithium-ion battery","","","2023/06/07"
"4 分光・物性評価・組成/化学分析","3 構造・組成・形態・界面・表面特性","https://doi.org/10.1038/s41565-019-0618-4","Real-time mass spectrometric characterization of the solid–electrolyte interphase of a lithium-ion battery","","","2023/06/07"
"7 センシング・バイオセンシング・イメージング・計測技術の開発・応用","11 セラミックス・酸化物・誘電体・光学材料","https://doi.org/10.1038/s41565-021-00986-1","Torsion strained iridium oxide for efficient acidic water oxidation in proton exchange membrane electrolyzers","","","2020/10/14"
"11 セラミックス・酸化物・誘電体・光学材料","9 化学反応・触媒・電気化学的評価","https://doi.org/10.1038/s41565-021-00986-1","Torsion strained iridium oxide for efficient acidic water oxidation in proton exchange membrane electrolyzers","","","2020/10/14"
"9 化学反応・触媒・電気化学的評価","5 化学反応性・触媒活性・電気化学特性","https://doi.org/10.1038/s41565-021-00986-1","Torsion strained iridium oxide for efficient acidic water oxidation in proton exchange membrane electrolyzers","","","2020/10/14"
